"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-09","    9","0.04",,,,"22","-1","4"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-10",,,"0.00","0.0","0.0","38","2","31"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-11",,,"0.00","0.0","0.0","49","23","26"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-12",,,"0.00","0.0","0.0","35","18","25"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-13",,,"0.00","0.0","0.0","55","24","35"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-14",,,"0.00","0.0","0.0","49","35","41"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-15",,,"0.03","0.0","0.0","41","36","36"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-16",,,"0.01","0.0","0.0","46","34","37"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-17",,,,"0.0","0.0","53","32","33"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-18","    2","0.02",,"0.0","0.0","60","32","37"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-19",,,"0.00","0.0","0.0","52","36","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-20",,,"0.22","0.0","0.0","53","35","41"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-21",,,"0.05","0.0","0.0","42","35","35"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-22",,,"0.01","0.0","0.0","60","31","48"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-23",,,"0.05","0.0","0.0","55","41","42"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-24",,,"0.00","0.0","0.0","48","31","31"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-25",,,"0.00","0.0","0.0","43","25","32"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-26",,,"0.00","0.0","0.0","44","22","32"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-27",,,,,,"59","30","30"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-28",,,,,,"30","22","22"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-29",,,,,,"22","17","17"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-30",,,,,,"30","7","16"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-01-31",,,,,,"26","14","26"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-02-01",,,,"0.0","0.0","31","26","31"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-02-02",,,,"0.0","0.0","42","24","24"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2010-02-03",,,,"0.0","0.0","40","22","36"
